image,label,weight_maps
./patch_data/image/mx85-nd-acqusition-0-ch1_patch1.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch1.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch1_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch2.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch2.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch2_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch3.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch3.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch3_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch4.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch4.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch4_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch5.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch5.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch5_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch6.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch6.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch6_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch7.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch7.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch7_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch8.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch8.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch8_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch9.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch9.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch9_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch10.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch10.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch10_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch11.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch11.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch11_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch12.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch12.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch12_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch13.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch13.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch13_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch14.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch14.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch14_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch15.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch15.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch15_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch16.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch16.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch16_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch17.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch17.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch17_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch18.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch18.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch18_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch19.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch19.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch19_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch20.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch20.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch20_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch21.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch21.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch21_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch22.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch22.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch22_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch23.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch23.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch23_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch24.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch24.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch24_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch25.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch25.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch25_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch26.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch26.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch26_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch27.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch27.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch27_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch28.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch28.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch28_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch29.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch29.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch29_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch30.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch30.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch30_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch31.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch31.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch31_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch32.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch32.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch32_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch33.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch33.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch33_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch34.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch34.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch34_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch35.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch35.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch35_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch36.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch36.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch36_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch37.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch37.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch37_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch38.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch38.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch38_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch39.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch39.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch39_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch40.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch40.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch40_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch41.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch41.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch41_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch42.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch42.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch42_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch43.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch43.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch43_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch44.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch44.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch44_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch45.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch45.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch45_weight_map.tif
./patch_data/image/mx85-nd-acqusition-0-ch1_patch46.tif,./patch_data/labels/mx85-nd-acqusition-0-ground-truth_patch46.tif,./patch_data/weight_maps/mx85-nd-acqusition-0-ground-truth_patch46_weight_map.tif
